region,type,amount,ind,date
17,4,4250.3,5,2018-06-01
170,6,4248.1,1,2018-06-01
22,0,4243.4,1,2018-04-01
375,4,4234.7,6,2017-12-01
22,0,4225.1,1,2018-02-01
375,8,4221.5,1,2018-01-01
170,6,4218.3,1,2017-09-01
170,6,4215.4,1,2018-05-01
15,0,4213.3,1,2018-05-01
375,4,4210.8,6,2017-10-01
170,6,4187.5,1,2018-04-01
23,4,4184.1,1,2017-12-01
375,8,4176.8,1,2018-07-01
375,4,4171,6,2017-11-01
22,0,4164.8,1,2018-01-01
170,6,4163.3,1,2017-08-01
15,0,4150.6,1,2018-01-01
375,4,4145.7,6,2017-09-01
375,4,4132.9,6,2017-08-01
23,0,4127.7,5,2017-11-01
23,4,4127.4,1,2017-09-01
23,0,4125.4,5,2017-12-01
375,8,4123.9,1,2018-06-01
375,8,4096.5,1,2017-09-01
22,0,4079.7,1,2017-09-01
22,0,4071,1,2017-11-01
22,0,4065,1,2017-12-01
23,0,4059,5,2017-09-01
375,8,4051.9,1,2018-05-01
22,0,4047.7,1,2017-10-01
375,8,4043.9,1,2018-04-01
375,8,4039.4,1,2018-02-01
23,4,4038.1,1,2017-08-01
15,0,4037.2,1,2018-02-01
375,8,4032.8,1,2018-03-01
15,0,4031.7,1,2017-12-01
375,4,4026.2,6,2018-01-01
15,0,4025.4,1,2017-11-01
17,4,4014.6,5,2018-05-01
23,0,4013.9,5,2017-08-01
15,0,4004.6,1,2018-03-01
170,4,3983.5,5,2018-07-01
17,4,3979.5,5,2017-10-01
17,4,3978.8,5,2017-12-01
23,4,3976.6,1,2017-10-01
15,0,3966.1,1,2017-10-01
17,4,3940.1,5,2018-01-01
17,4,3937.2,5,2018-04-01
170,4,3910.7,5,2017-12-01
17,4,3892.1,5,2018-02-01
170,4,3890.1,5,2018-02-01
22,0,3889.9,1,2017-08-01
170,4,3888.6,5,2018-01-01
170,4,3887.5,5,2018-06-01
23,4,3884,1,2017-11-01
17,4,3883.7,5,2017-08-01
17,4,3879.7,5,2017-09-01
15,0,3879.3,1,2017-09-01
17,4,3872.5,5,2018-03-01
170,4,3871,5,2018-03-01
170,4,3869.5,5,2018-04-01
170,6,3867.2,1,2018-02-01
170,6,3861.5,1,2018-03-01
170,4,3841.6,5,2018-05-01
375,8,3841.1,1,2017-08-01
15,0,3837.8,1,2017-08-01
170,4,3827.1,5,2017-11-01
170,4,3793.5,5,2017-10-01
17,4,3772.9,5,2017-11-01
23,4,3740,5,2018-05-01
23,4,3735.3,5,2018-06-01
23,4,3704,5,2018-04-01
16,0,3697.3,1,2018-07-01
16,0,3691.6,1,2018-01-01
16,0,3677.5,1,2018-06-01
16,0,3659.5,1,2017-10-01
23,4,3653.9,5,2018-07-01
16,0,3618.9,1,2017-09-01
16,0,3610.4,1,2018-04-01
23,4,3607.5,5,2018-03-01
375,1,3606.5,1,2018-01-01
170,4,3602.4,5,2017-09-01
16,0,3594,1,2017-08-01
16,0,3581.2,1,2018-05-01
23,4,3562,5,2018-02-01
170,4,3551.4,5,2017-08-01
16,0,3532.1,1,2018-03-01
16,0,3517.8,1,2017-11-01
16,0,3509.7,1,2017-12-01
16,0,3488.8,1,2018-02-01
375,1,3469.3,1,2017-12-01
375,1,3417.3,1,2017-11-01
375,1,3378.4,1,2017-10-01
375,1,3375,1,2018-07-01
375,1,3328.8,1,2018-06-01
17,4,3325.4,1,2018-07-01
23,4,3254.8,5,2018-01-01
17,4,3243.7,1,2018-06-01
375,1,3235.9,1,2017-09-01
375,4,3197.1,2,2018-05-01
375,1,3192.1,1,2018-05-01
21,0,3177.8,5,2018-07-01
375,4,3177.4,2,2018-04-01
21,0,3172.3,5,2018-06-01
375,1,3142.6,1,2018-04-01
23,4,3122.8,5,2017-12-01
23,4,3109.4,5,2017-09-01
375,4,3106.6,2,2018-02-01
375,4,3098.7,2,2018-03-01
17,4,3096.7,1,2018-03-01
375,4,3093.9,2,2018-06-01
17,4,3091.1,1,2017-12-01
375,1,3089.7,1,2017-08-01
375,1,3086,1,2018-02-01
17,4,3084,1,2018-01-01
23,4,3072.7,5,2017-08-01
375,4,3072.7,2,2018-07-01
17,4,3072.2,1,2018-05-01
17,4,3069.5,1,2018-04-01
21,0,3044.1,5,2018-05-01
17,4,3024.8,1,2018-02-01
375,1,3024.2,1,2018-03-01
375,4,2999.8,2,2017-10-01
375,4,2993.7,2,2017-12-01
23,4,2976.9,5,2017-11-01
21,0,2973.2,5,2018-04-01
15,0,2971,5,2018-07-01
375,4,2960.1,2,2017-11-01
21,0,2958.9,5,2018-02-01
17,4,2955.4,1,2017-10-01
170,4,2948.4,1,2018-07-01
17,4,2902.7,1,2017-11-01
21,0,2884.5,5,2018-03-01
16,0,2876.3,5,2018-07-01
15,0,2871.2,5,2018-06-01
170,4,2862.2,1,2018-06-01
17,4,2855.6,1,2017-09-01
375,4,2852.8,2,2017-09-01
375,4,2844.5,2,2017-08-01
170,4,2833,1,2018-04-01
170,4,2826.1,1,2018-01-01
375,1,2818.8,5,2018-07-01
16,0,2813.7,5,2018-06-01
375,4,2796.8,2,2018-01-01
17,4,2789.4,1,2017-08-01
170,6,2783.8,5,2018-07-01
15,0,2776,5,2018-05-01
375,1,2772.7,5,2018-06-01
170,4,2733,1,2018-03-01
170,6,2730.5,5,2018-01-01
21,4,2730.2,1,2018-06-01
375,7,2709.5,2,2018-07-01
21,4,2700.9,1,2018-02-01
15,0,2698.2,5,2017-11-01
170,4,2689.4,1,2018-02-01
375,1,2688.1,5,2018-05-01
21,4,2680.4,1,2018-07-01
170,4,2673.5,1,2017-12-01
170,4,2666.8,1,2018-05-01
15,0,2665.5,5,2017-12-01
15,0,2665.3,5,2017-10-01
375,1,2665.2,5,2017-12-01
21,4,2663.2,1,2018-04-01
16,0,2659.8,5,2018-05-01
170,6,2656.4,5,2018-06-01
15,0,2652.1,5,2018-04-01
16,0,2650.2,5,2017-10-01
16,0,2649.4,5,2018-04-01
21,4,2649.2,1,2018-03-01
375,7,2646.9,2,2018-06-01
375,7,2627.9,2,2018-05-01
16,0,2625.7,5,2017-09-01
375,1,2619.3,5,2017-11-01
16,0,2616.4,5,2017-12-01
170,4,2613.1,1,2017-11-01
375,1,2606.4,5,2017-10-01
16,0,2605.5,5,2018-01-01
170,6,2602.1,5,2018-05-01
15,0,2598.8,5,2017-09-01
22,0,2595.5,5,2018-07-01
15,0,2582.3,5,2017-08-01
22,0,2581.8,5,2018-06-01
170,6,2580,5,2018-04-01
21,4,2578.3,1,2018-05-01
16,0,2577.9,5,2017-11-01
16,0,2574,5,2018-03-01
16,0,2571.7,5,2017-08-01
170,8,2569,1,2018-07-01
170,4,2564.6,1,2017-10-01
375,7,2557.6,2,2018-04-01
22,0,2556.2,5,2018-03-01
22,0,2552.8,5,2018-05-01
170,8,2549.6,1,2017-10-01
375,7,2547.9,2,2018-03-01
170,8,2547.5,1,2018-04-01
170,6,2543.1,5,2017-12-01
16,0,2542.9,5,2018-02-01
170,8,2538.8,1,2017-11-01
375,1,2531.6,5,2018-04-01
375,8,2531.4,5,2017-10-01
170,6,2531.3,5,2018-02-01
170,8,2530.3,1,2017-09-01
375,8,2529.9,5,2018-01-01
170,8,2524.9,1,2018-06-01
22,0,2523.1,5,2018-02-01
22,0,2521.8,5,2018-04-01
170,8,2521.6,1,2018-05-01
375,1,2513.6,5,2018-01-01
170,8,2508.6,1,2018-03-01
170,8,2507.5,1,2017-12-01
170,8,2498.3,1,2018-02-01
170,8,2497.4,1,2018-01-01
21,0,2494.5,5,2017-11-01
21,0,2492.2,5,2017-12-01
15,0,2490,5,2018-03-01
375,1,2485.7,5,2017-09-01
375,7,2481.1,2,2018-02-01
21,0,2477.7,5,2018-01-01
170,4,2470.3,1,2017-09-01
21,0,2468.2,5,2017-09-01
21,4,2467.5,1,2017-12-01
